method,mean_position_error,std_position_error,mean_charge_error,std_charge_error
Supervised MLP,0.9806615615487099,0.574172911988626,0.9195508396327495,0.682020304104386
Physics-informed MLP,0.8835583436787129,0.5637597052880554,0.8368135906457901,0.6652553252856264
Physics-informed MLP before refinement,0.9305861908197403,0.4762238078157194,1.1153056913614272,0.9963476265323639
Hybrid MLP + physics refinement,0.5164870377164335,0.6990510448975396,0.6323684549331665,0.7409348827030888
